,S1a,S1b,S2a,S2b,S3a,S3b,time
0,6.5472803,5.5389814,3.9980683,4.3090854,3.685523,4.6067033,0.0
1,6.373475,5.2409954,4.38599,3.9999733,4.1033373,4.159148,0.15
2,5.0706267,6.358423,3.758164,3.3704875,3.2503185,4.8286343,0.3
3,4.494528,6.250602,3.409011,3.9938374,4.013749,3.1424637,0.44999999999999996
4,4.5948687,5.1646833,4.0214663,3.8500748,3.537296,4.029297,0.6
5,4.1927004,6.092851,4.5097275,3.6946802,3.5486686,4.0786424,0.75
6,4.7626114,6.228154,3.8574228,4.0245004,3.450757,4.637609,0.8999999999999999
7,5.676738,6.8675256,4.1351376,3.6689174,3.399056,4.6554017,1.05
8,5.299734,5.648461,3.8977883,3.9392183,3.4752884,4.8441644,1.2
9,5.2276926,6.036882,3.8661776,4.085975,3.4716864,4.400095,1.3499999999999999
10,5.725168,5.42017,4.798361,3.4954724,3.411392,4.149947,1.5
11,6.090958,5.8340335,4.0614734,4.029563,3.2411642,4.202399,1.65
12,5.281672,6.2682905,4.1338367,4.015846,3.7719555,4.2556996,1.7999999999999998
13,7.279048,5.4212933,4.0271935,4.4078293,3.1325588,4.0166636,1.95
14,5.1913857,6.5034018,4.168606,3.6693552,4.1962,4.124799,2.1
15,6.410608,6.688224,4.0059037,4.3868465,3.8326173,4.7265644,2.25
16,5.175204,6.466873,4.435051,5.844173,4.2357893,4.8364205,2.4
17,6.3744135,6.3442616,3.332281,4.3009434,3.6647992,4.7496476,2.55
18,5.339299,6.8978167,3.8729777,3.7069316,3.6823204,4.1913023,2.6999999999999997
19,5.769918,7.532723,4.2789865,3.7086484,3.6338868,4.646863,2.85
20,6.950757,7.8372774,4.172328,5.334494,3.1229615,3.811145,3.0
21,6.9707484,7.1106815,4.453265,5.4534907,3.7665238,4.5549273,3.15
22,6.5824375,6.4851947,3.8703966,5.6635275,3.9109209,5.063944,3.3
23,5.4639053,7.180026,4.231626,4.2496867,4.165786,4.487246,3.4499999999999997
24,4.817131,7.6248255,4.34572,5.480413,2.8684058,4.494183,3.5999999999999996
25,7.610468,7.8993864,4.321228,4.77732,3.3519192,4.7797203,3.75
26,5.6120043,7.4524546,4.2352467,5.873389,4.208948,4.668971,3.9
27,7.837614,7.1214724,4.335819,3.8665466,4.385263,4.7091656,4.05
28,7.1814017,6.9044905,3.9618998,4.4804554,3.866106,3.9206264,4.2
29,7.245015,6.6785355,4.207973,4.2445927,4.4820356,3.4248576,4.35
30,6.313252,6.1100106,3.6829996,4.485875,5.0379314,3.975367,4.5
31,6.240391,6.6133933,4.0966005,4.4432826,3.2039502,3.6722658,4.6499999999999995
32,4.757308,7.7190804,3.7946095,4.34274,4.016957,4.5183716,4.8
33,6.084912,7.7474813,3.523202,4.6463976,4.1725187,4.196961,4.95
34,4.599539,8.302717,3.8104224,4.05333,4.3789873,4.9015207,5.1
35,5.298609,7.0465093,4.1153455,4.0416183,4.4200883,3.7642803,5.25
36,4.954192,6.5103207,4.0546784,4.273005,3.817619,4.372112,5.3999999999999995
37,5.1694727,7.0543833,4.0280495,4.4334297,4.021632,3.5078497,5.55
38,5.9775157,7.0585775,3.0461354,4.8867817,4.653157,5.471636,5.7
39,5.7622695,7.96815,3.4889455,4.236259,4.5482273,3.2418811,5.85
40,5.3582053,7.7645063,4.038443,4.4690294,5.5146747,2.9900393,6.0
41,7.0083475,7.436457,3.62864,3.2893684,4.137467,3.440177,6.1499999999999995
42,7.7723846,7.3569183,3.129138,5.2924776,4.4553833,3.32522,6.3
43,7.5572877,7.341857,3.5033956,4.4110904,4.1860886,3.925145,6.45
44,8.344147,7.180131,3.9272997,4.5217113,4.855344,5.2556076,6.6
45,7.954717,8.002593,3.539324,3.6950436,5.232891,4.153274,6.75
46,8.245517,7.836748,4.1861053,3.480313,4.481169,3.4865403,6.8999999999999995
47,7.534385,7.8730173,4.923396,3.6235757,4.5577083,3.8791406,7.05
48,9.013791,7.0028214,4.172085,4.029293,4.1291656,4.2650704,7.199999999999999
49,7.7155995,8.028192,4.9281144,4.2691054,4.364052,4.6087236,7.35
50,8.555782,7.053047,4.3950086,4.6613913,2.783998,4.534072,7.5
51,8.741088,7.11278,4.011044,4.3782988,4.6931057,4.697835,7.6499999999999995
52,8.732771,7.7708263,4.0737457,4.339543,4.356252,4.605601,7.8
53,7.607213,7.3850946,4.3490987,4.138518,2.391066,3.9393044,7.949999999999999
54,7.9265122,7.9037914,4.2981167,4.7023344,4.2590456,4.87601,8.1
55,8.37129,6.5549154,4.057475,4.42268,5.4222927,3.3055964,8.25
56,7.529517,8.398182,4.073079,4.099398,4.522547,4.648898,8.4
57,8.005205,7.675602,3.47504,3.416689,4.037052,3.5947847,8.549999999999999
58,7.8725815,7.29619,3.350327,4.9759164,3.9791646,4.3529277,8.7
59,7.5051985,8.181456,4.2665215,4.599357,4.5995755,4.4636145,8.85
60,7.3251414,7.7034197,3.7577713,3.8102424,3.5153673,3.3796816,9.0
61,7.763651,7.5934143,3.9379513,5.707242,4.2124033,3.1973748,9.15
62,8.453857,6.6085143,3.9907024,4.0776386,4.487621,2.8948534,9.299999999999999
63,7.1723557,6.616192,4.486342,4.7236333,3.366136,3.0945973,9.45
64,7.8468614,6.9830995,4.0507927,4.892323,4.9414387,3.6781693,9.6
65,7.845099,7.883276,4.3462753,4.5979795,4.543426,3.7395425,9.75
66,7.1555767,5.8956914,4.0802364,4.2323647,4.4019065,3.3593926,9.9
67,7.0699244,6.7439623,4.343811,4.4006786,4.372821,2.5594954,10.049999999999999
68,7.8988385,7.416418,5.6163435,4.249224,5.088068,3.0822778,10.2
69,8.134293,7.985672,3.7864304,4.1285224,4.79955,2.6476529,10.35
70,8.56726,6.862741,5.2019567,4.2486124,4.5917926,2.9214911,10.5
71,8.12814,7.205959,4.8796377,4.0341477,4.3300047,2.8262668,10.65
72,8.5987835,8.395142,5.7502885,4.0238113,4.0956383,3.3583176,10.799999999999999
73,8.632004,7.1055603,4.9976263,3.3340585,3.8260279,3.381728,10.95
74,7.5287037,6.7877154,5.765273,4.3457904,4.603663,1.9968526,11.1
75,7.50852,7.4843063,5.4328675,3.8196876,4.0565276,2.501911,11.25
76,8.762075,6.693388,5.5738363,3.7108934,5.067255,3.019806,11.4
77,9.208869,6.458456,4.9748793,3.717463,3.6828055,2.578156,11.549999999999999
78,9.041084,7.125576,5.451394,3.2431486,4.021669,2.5391886,11.7
79,8.424949,7.9771595,4.8145237,3.7130394,4.0849237,2.2584374,11.85
80,7.7832313,7.9953523,4.3228874,4.2729654,4.1352696,3.4258685,12.0
81,7.9674644,7.5144205,4.0819993,4.410414,2.3582535,2.8367882,12.15
