,S1a,S1b,S2a,S2b,S3a,S3b,time
0,1.778761,1.6905141,16.999352,17.214828,14.174074,11.425324,0.0
1,1.8223059,1.816674,16.715946,18.40181,12.315494,14.077091,0.15
2,1.7312075,1.7316859,16.054918,18.664642,14.375571,12.974076,0.3
3,1.7215908,1.7757953,17.58627,18.024662,15.014533,10.8386345,0.44999999999999996
4,1.7086306,1.7412384,18.417995,17.697872,14.575083,10.052515,0.6
5,1.7607366,1.698318,17.926481,20.055487,11.575242,10.187361,0.75
6,1.7780063,1.7410344,19.221321,20.30762,11.969638,12.206697,0.8999999999999999
7,1.8778522,1.7232018,18.336845,17.952614,12.942907,9.862293,1.05
8,1.8107274,1.9679353,17.495296,15.4175625,13.545629,9.089124,1.2
9,1.7049671,1.9355608,17.464039,17.015034,14.109554,9.619659,1.3499999999999999
10,1.7992935,1.8541266,14.699077,19.479467,12.315703,9.43048,1.5
11,1.6934406,1.6806374,15.353521,15.933276,15.725989,9.241726,1.65
12,1.75523,1.6679038,15.04149,19.009895,15.620279,9.062158,1.7999999999999998
13,1.7166127,1.5696535,12.874935,18.84953,15.354901,11.209263,1.95
14,1.6874717,1.6758144,16.585688,18.692612,14.496801,12.066986,2.1
15,1.7511053,1.7701917,12.846093,15.593658,14.469681,11.482004,2.25
16,1.865442,1.6759081,13.916406,14.808945,15.641455,10.225313,2.4
17,1.7200733,1.7724504,14.22724,14.121308,16.475368,10.431589,2.55
18,1.6893482,1.6465033,14.615279,15.522762,13.5534,11.088196,2.6999999999999997
19,1.7561684,1.7953432,11.147993,13.334311,15.471316,9.292015,2.85
20,1.8853391,1.8342178,12.135647,17.559633,13.490284,10.183327,3.0
21,1.6070837,1.9004805,13.490859,18.169039,14.549829,9.54657,3.15
22,1.7221365,1.6874099,13.952683,17.073906,13.473324,7.0791,3.3
23,1.7654239,1.664021,16.303354,16.975018,17.070408,9.804941,3.4499999999999997
24,1.7756962,2.1263347,17.295227,14.267634,15.03244,9.31773,3.5999999999999996
25,1.7767888,1.7709423,18.943705,17.061907,16.93576,9.512014,3.75
26,1.8109694,1.6995807,17.853682,16.094406,15.136004,10.374103,3.9
27,1.7339617,1.7204571,12.826609,14.821169,16.472061,10.744236,4.05
28,1.6764264,1.8178345,12.724966,13.295966,13.949976,10.288017,4.2
29,1.9196134,1.6526606,18.210072,17.790012,16.564007,12.516539,4.35
30,1.8233185,1.7404096,16.13839,15.87966,14.662849,11.676317,4.5
31,1.691599,1.7543349,14.526651,15.305461,14.161111,14.023094,4.6499999999999995
32,1.6768148,1.6960968,14.629368,18.098415,16.691862,11.222246,4.8
33,1.8131313,1.8036795,12.4550495,14.827513,14.52083,13.483503,4.95
34,1.7569934,1.6053957,14.868111,18.318647,16.670784,12.436237,5.1
35,1.7509474,1.8878253,18.150984,10.728724,18.281137,10.329944,5.25
36,1.7664506,1.7501318,15.995506,17.465723,11.866736,9.982416,5.3999999999999995
37,1.6933889,1.8337661,17.743742,13.713966,13.522947,10.559887,5.55
38,1.7959249,1.82898,17.087343,12.159544,15.119475,10.397713,5.7
