,S1a,S1b,S2a,S2b,S3a,S3b,time
76,6.58871,6.6286383,4.842948,4.410885,3.7304797,4.7082477,7.6000000000000005
77,6.5771723,6.730155,5.071463,3.3835378,3.7370605,4.9066095,7.7
78,6.956176,6.595046,4.3867464,3.416667,4.224543,4.3653173,7.800000000000001
79,6.7653155,6.9666076,4.6866937,4.399033,4.008606,4.8986807,7.9
80,7.001706,6.463983,4.8319817,3.3401797,3.8073218,3.311049,8.0
81,7.0607495,6.846237,4.876631,3.118664,3.4174066,5.061823,8.1
82,6.6414804,6.394735,4.447827,3.4706144,4.10558,3.7787852,8.200000000000001
83,5.3974533,6.961482,4.6596484,3.6428752,3.7177036,4.2183475,8.3
84,7.1495543,7.5584955,4.774644,4.402493,3.38386,4.446717,8.4
85,6.997273,7.0003977,4.731217,2.6256804,3.3573139,4.413539,8.5
86,7.2323284,7.291688,4.5699506,3.8582683,3.9582205,2.8064504,8.6
87,7.1001825,6.602778,5.0272174,4.049796,4.7759113,2.8244214,8.700000000000001
88,7.1854,6.4917493,4.5799923,4.1047325,3.838534,3.1291258,8.8
89,6.4677525,5.671637,5.040105,3.7917542,3.4535065,2.896999,8.9
90,6.6960583,7.1254015,4.4449787,3.5170534,4.1382203,3.9630105,9.0
91,7.0250425,6.2676644,4.807046,4.138063,4.013871,3.1730185,9.1
92,6.248655,6.793173,4.8392467,4.0980496,4.228416,2.6995811,9.200000000000001
93,7.0983367,6.9166822,4.399927,4.791817,4.3393483,3.9151862,9.3
94,7.406264,6.8848996,4.8505125,3.5080743,2.9688728,3.602077,9.4
95,7.087682,6.3222165,4.565194,4.4838715,3.5830224,3.8140707,9.5
96,6.6141944,6.6675706,4.3967423,3.6615076,3.4376774,3.8150623,9.600000000000001
97,6.9409366,7.2491765,4.5562325,3.8450704,3.7771287,4.3885107,9.700000000000001
98,7.572298,6.887102,4.7672434,4.1185513,3.910921,4.0425305,9.8
99,6.757963,7.139127,4.505992,4.024821,3.7977436,4.2500825,9.9
100,6.6851716,6.477551,4.6531324,4.349555,4.1371756,3.5899453,10.0
101,6.9702826,7.2840195,4.811704,4.2701683,3.8465154,4.137064,10.100000000000001
102,7.1147223,6.8300724,4.8560514,4.0906587,4.2567873,4.082223,10.200000000000001
103,7.033245,6.773325,5.049753,4.857936,3.6501112,4.7457747,10.3
104,6.9394326,6.4405813,4.7760653,4.9866767,4.424865,4.676742,10.4
105,6.848617,6.6185055,5.1593847,4.0450535,4.474369,4.0125256,10.5
106,7.168724,6.7012315,4.8960547,4.6056824,3.6999016,3.0518775,10.600000000000001
107,7.7443027,7.628593,5.0621805,4.799854,3.6035872,3.9398205,10.700000000000001
108,6.9138007,6.816299,4.8678036,5.3186703,3.7975647,3.5591319,10.8
109,6.6924944,6.4624166,5.2590275,4.5517116,3.660506,4.4774456,10.9
110,7.404265,6.901434,4.256221,4.186189,3.5729682,3.5551682,11.0
111,6.3890905,6.6117234,5.1183023,4.8826747,4.170657,3.3681378,11.100000000000001
112,6.893664,7.054427,4.6609244,4.783846,3.9547648,3.9323246,11.200000000000001
113,7.01757,7.3023705,5.334366,4.394034,3.6203341,3.3901234,11.3
114,6.8628845,7.0202007,4.4478693,3.9238758,4.1228504,4.200424,11.4
115,7.0812516,6.8047786,4.8836546,3.9305706,4.455723,3.0008066,11.5
116,6.457035,7.164447,4.4460964,4.283057,3.7795188,3.601959,11.600000000000001
117,6.300296,6.531203,5.4397116,4.747832,4.71916,3.0392048,11.700000000000001
118,7.1969357,7.4285784,5.5093822,4.585208,4.454127,3.272642,11.8
119,7.1364164,6.7998276,4.1193414,3.8666954,4.022761,3.1703856,11.9
120,6.460417,6.668231,5.216111,4.751184,3.7454402,4.405177,12.0
121,6.991396,6.949019,4.241567,3.8138745,4.2747946,2.9540827,12.100000000000001
